Leeftijd,Marges,Perioden,Wijken.en.buurten,Regioaanduiding.Gemeentenaam..naam.,Regioaanduiding.Soort.regio..omschrijving.,Regioaanduiding.Codering..code.,Ervaren.gezondheid..goed.zeer.goed.....,Bewegen.Voldoet.aan.beweegrichtlijn....,Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....,Roker....,Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....,Alcoholgebruik.Drinker....,Alcoholgebruik.Zware.drinker....,Alcoholgebruik.Overmatige.drinker....,Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....,Psychische.klachten....,Veerkracht..Zeer..lage.veerkracht....,Hoog.risico.op.angst.of.depressie....,Eenzaamheid.Ernstig.zeer.ernstig.eenzaam....
18 jaar of ouder,Waarde,2016,Achterbroek,Krimpenerwaard                          ,Buurt     ,BU19310701          ,    86.9,    42.6,    12.9,    15.7,    49.3,    81.6,     6.6,     4.6,    24.7,       .,       .,     3.3,     4.9
18 jaar of ouder,Waarde,2016,Wijk 08 Haastrecht,Krimpenerwaard                          ,Wijk      ,WK193108            ,    79.1,    48.0,    13.7,    17.0,    40.5,    84.1,    10.4,     7.4,    31.9,       .,       .,     4.4,     7.5
18 jaar of ouder,Waarde,2016,Haastrecht-Dorpskern,Krimpenerwaard                          ,Buurt     ,BU19310800          ,    82.6,    49.9,    12.3,    17.1,    36.0,    87.1,    11.5,     7.7,    29.4,       .,       .,     3.4,     6.6
18 jaar of ouder,Waarde,2016,Boven-Haastrecht,Krimpenerwaard                          ,Buurt     ,BU19310801          ,    85.1,    51.6,    11.8,    15.5,    38.1,    85.4,    10.9,     7.1,    25.1,       .,       .,     3.5,     4.6
18 jaar of ouder,Waarde,2016,Beneden-Haastrecht,Krimpenerwaard                          ,Buurt     ,BU19310802          ,    83.4,    52.5,    10.4,    15.9,    41.0,    85.1,     9.0,     6.7,    27.1,       .,       .,     3.6,     6.4
18 jaar of ouder,Waarde,2016,Rozendaal,Krimpenerwaard                          ,Buurt     ,BU19310803          ,    81.9,    43.6,    13.1,    15.4,    38.9,    82.9,    11.0,     6.9,    28.0,       .,       .,     3.2,     7.0
18 jaar of ouder,Waarde,2016,Stolwijkersluis (ged.),Krimpenerwaard                          ,Buurt     ,BU19310804          ,    83.0,    52.8,    12.5,    15.4,    40.5,    84.3,     8.8,     7.1,    30.8,       .,       .,     3.2,     5.2
18 jaar of ouder,Waarde,2016,Hofkamp,Krimpenerwaard                          ,Buurt     ,BU19310805          ,    74.5,    44.4,    13.2,    11.9,    45.6,    82.8,     7.9,     7.8,    38.1,       .,       .,     4.9,     8.0
18 jaar of ouder,Waarde,2016,Agterpoort,Krimpenerwaard                          ,Buurt     ,BU19310806          ,    75.0,    45.2,    14.5,    20.2,    43.0,    82.1,    10.6,     7.0,    34.8,       .,       .,     5.9,    10.3
18 jaar of ouder,Waarde,2016,Stein,Krimpenerwaard                          ,Buurt     ,BU19310807          ,    74.8,    45.6,    15.9,    17.5,    42.9,    81.7,    10.1,     7.7,    35.2,       .,       .,     5.0,     8.1
18 jaar of ouder,Waarde,2016,Verspr. huizen Haastrecht Noord,Krimpenerwaard                          ,Buurt     ,BU19310808          ,    86.0,    52.4,     9.3,    15.7,    34.7,    89.1,    13.5,     6.7,    24.1,       .,       .,     2.4,     4.6
18 jaar of ouder,Waarde,2016,Verspr. huizen Haastrecht Zuid,Krimpenerwaard                          ,Buurt     ,BU19310809          ,    85.0,    51.1,    10.0,    14.9,    40.1,    86.1,    10.3,     6.6,    24.7,       .,       .,     4.1,     5.9
18 jaar of ouder,Waarde,2016,Bergvliet,Krimpenerwaard                          ,Buurt     ,BU19310810          ,    83.3,    51.3,    13.6,    18.1,    38.2,    85.6,    10.9,     7.2,    28.8,       .,       .,     4.0,     7.2
18 jaar of ouder,Waarde,2016,Wijk 10 Stolwijk,Krimpenerwaard                          ,Wijk      ,WK193110            ,    80.7,    48.3,    13.3,    16.8,    42.1,    83.3,     9.5,     6.5,    29.9,       .,       .,     4.3,     7.0
